repository,accumulate,adjacent_difference,adjacent_find,all_of,any_of,binary_search,copy,copy_backward,copy_if,copy_n,count,count_if,equal,equal_range,fill,fill_n,find,find_end,find_first_of,find_if,find_if_not,for_each,generate,generate_n,includes,inner_product,inplace_merge,iota,is_heap,is_heap_until,is_permutation,is_sorted,is_sorted_until,iter_swap,lexicographical_compare,lower_bound,make_heap,max,max_element,merge,min,min_element,minmax,minmax_element,mismatch,move,move_backward,next_permutation,none_of,nth_element,partial_sort,partial_sort_copy,partial_sum,partition,partition_copy,partition_point,pop_heap,prev_permutation,push_heap,random_shuffle,remove,remove_copy,remove_copy_if,remove_if,replace,replace_copy,replace_copy_if,replace_if,reverse,reverse_copy,rotate,rotate_copy,search,search_n,set_difference,set_intersection,set_symmetric_difference,set_union,shuffle,sort,sort_heap,stable_partition,stable_sort,swap,swap_ranges,transform,unique,unique_copyis_partitioned,upper_bound
WizTeam/WizQTClient,0,0,0,0,0,0,18,0,0,0,70,0,10,0,9,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,290,24,0,0,0,2,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,62,0,0,0,1,0,0,0,21,0,0,0,0,0,0,28,0,0,0,1,0,0,1,0,0
quarnster/SublimeClang,0,0,0,0,0,0,0,0,0,0,10,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2
miguelfreitas/twister-core,3,0,0,0,0,0,49,0,4,0,319,2,61,0,27,9,372,0,0,33,0,10,19,0,0,0,0,0,0,0,0,0,0,9,0,10,0,296,5,2,332,10,0,0,2,130,0,0,0,0,0,0,0,1,0,0,0,0,0,7,91,5,4,2,57,0,0,0,79,0,6,0,7,0,0,0,0,0,14,48,0,0,1,70,0,8,7,0,3
bengardner/uncrustify,0,0,0,0,0,0,0,0,0,0,115,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,47,0,0,0,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
danmar/cppcheck,2,0,0,0,0,3,32,0,0,0,66,0,23,0,10,0,380,0,23,1,0,5,7,0,12,0,0,0,0,0,0,0,0,0,0,0,0,40,1,5,95,0,0,0,14,115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,1,51,0,0,0,5,0,0,0,17,0,0,0,0,0,0,6,0,0,0,1,0,8,6,0,0
unknownworlds/decoda,0,0,0,0,0,0,13,0,0,0,5,0,5,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,1,19,0,0,0,0,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,8,0,0,0,0,0,0,0,50,0,0,0,0,0,0,10,0,0,0,0,0,1,1,0,0
assimp/assimp,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
graphlab-code/graphlab,3,0,0,0,0,0,13,0,0,0,332,0,2,0,4,0,20,0,1,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,145,3,14,106,1,0,0,0,6,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,9,0,0,0,3,0,31,5,0,0
vgvassilev/cling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
supercollider/supercollider,0,0,0,0,0,0,7,0,0,0,196,0,4,0,0,0,29,0,4,0,0,0,2,0,10,0,0,0,0,0,0,0,0,0,0,2,0,35,0,0,50,0,0,0,0,20,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,4,0,0,0,1,0,0,0,3,0,0,0,0,0,0,13,0,0,0,1,0,2,1,0,2
shogun-toolbox/shogun,1,0,0,0,0,0,33,0,0,0,47,0,3,1,27,0,36,0,0,2,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,255,3,0,220,0,0,0,4,9,0,0,0,1,0,0,0,4,0,0,0,0,0,1,8,0,0,0,4,0,0,0,1,0,0,0,37,0,0,0,0,0,1,44,0,0,1,9,0,3,6,0,0
triAGENS/ArangoDB,0,0,0,0,0,0,2,0,0,0,44,2,2,0,2,0,25,0,0,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,12,16,0,0,0,3,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0
uglide/RedisDesktopManager,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
cocaine/cocaine-core,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0
Aloshi/EmulationStation,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jlnr/gosu,0,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,3,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,0,2,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,4,0,0,0
oclint/oclint,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
spring/spring,1,0,0,0,0,0,8,0,0,0,75,0,9,0,4,0,169,0,11,1,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,3,0,211,0,0,209,0,0,0,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,1,22,0,0,1,20,0,0,0,6,0,2,0,27,0,0,0,0,0,1,22,0,0,0,23,0,10,6,0,2
thrust/thrust,1,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
elan/plex,2,0,0,0,0,0,10,0,0,0,20,0,1,0,17,0,35,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,1,4,0,42,0,0,50,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,0,0,0,14,0,6,1,0,4
tqchen/xgboost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
etotheipi/BitcoinArmory,3,0,0,0,0,0,16,0,0,0,12,0,1,0,5,0,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,23,0,0,0,1,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,5,0,0,0,2,0,0,0,37,0,0,0,0,0,0,18,0,0,0,1,0,0,7,0,2
madlib/madlib,1,0,0,0,0,0,1,0,0,0,86,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,3,5,20,1,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0
Yelp/MOE,0,0,0,0,1,0,88,3,0,0,16,0,12,0,25,0,10,0,0,0,0,1,85,0,1,0,0,1,0,0,0,0,0,0,0,50,0,398,4,0,133,4,0,0,0,14,0,0,1,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,1,0,0,0,2,0,0,0,137,0,0,0,0,0,2,10,0,0,0,12,1,1,12,0,50
telegramdesktop/tdesktop,0,0,0,0,0,0,15,0,0,0,2,0,10,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0
jubatus/jubatus,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,2,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
dolphin-emu/dolphin,1,0,0,0,0,0,57,0,0,1,93,0,9,0,22,2,120,0,3,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,128,1,5,135,0,0,0,0,74,0,0,0,0,0,0,0,2,0,0,0,0,0,0,15,0,0,0,14,0,0,0,13,0,0,0,46,0,0,0,0,0,15,37,0,0,0,89,0,6,18,0,1
SkyFireArchives/SkyFireEMU_old,0,0,0,0,0,0,10,0,0,0,28,0,1,0,1,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,57,0,0,10,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,2,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,27,0,3,3,0,0
netease-youdao/hex,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CleverRaven/Cataclysm-DDA,5,0,0,0,0,0,56,0,0,0,754,0,25,0,180,0,447,0,9,2,0,0,32,0,5,0,0,0,0,0,0,0,0,0,1,4,0,1172,0,19,1016,0,0,0,1,1370,0,0,0,0,0,0,0,0,0,0,0,0,0,2,250,0,0,0,60,0,0,0,13,0,343,0,62,4,5,0,0,0,2,94,0,0,1,20,0,37,48,0,0
openscad/openscad,0,0,0,0,0,0,4,0,0,0,4,0,1,0,5,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,1,8,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,3,0,0,0,0,0
bulletphysics/bullet3,0,0,0,0,3,0,12,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,2,0,22,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,1,1,0,34,0,0,0,3,0,0,1,0,0
wavii/darner,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
mcostalba/Stockfish,1,0,0,0,0,0,5,0,0,0,81,0,1,0,1,0,14,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,47,0,3,71,0,0,0,0,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2,0,0,0,2,0,0,0,134,0,0,0,0,0,0,6,0,0,2,11,0,2,0,0,0
ValveSoftware/halflife,0,0,0,0,0,0,0,0,0,0,114,0,0,0,2,0,29,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,31,39,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,6,0,0,2,0,0
zdevito/terra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SkyFireArchives/SkyFireEMU_406a,0,0,0,0,0,0,10,0,0,0,54,0,1,0,1,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,57,0,0,13,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,2,0,0,0,8,0,0,0,2,0,0,0,0,0,0,0,0,0,0,27,0,3,3,0,0
Project-OSRM/osrm-backend,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,12,0,0,26,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0
MasteringOpenCV/code,0,0,0,0,0,0,2,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
zerotier/ZeroTierOne,0,0,0,0,0,0,24,0,0,0,39,0,1,1,3,0,16,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,19,0,1,53,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,1,0,0
Hawstein/cracking-the-coding-interview,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0
user-none/Sigil,0,0,0,0,0,0,1,0,0,0,23,0,3,0,0,0,22,0,4,0,0,0,5,0,12,0,0,0,0,0,0,0,0,0,0,2,0,23,0,0,18,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,2
etexteditor/e,0,0,0,0,0,0,33,0,0,0,78,0,0,0,0,0,34,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,23,0,8,0,3,7,0,0,0,0,153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,32,0,0,0,10,0,0,0,234,0,0,0,0,0,0,38,0,0,0,14,0,20,0,0,0
PointCloudLibrary/pcl,5,0,0,0,0,0,45,0,0,0,44,0,2,0,11,4,27,0,0,0,0,0,11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,128,0,4,75,0,0,0,0,27,0,0,0,0,0,0,0,7,0,0,0,0,0,0,13,0,0,0,0,0,0,0,2,0,1,0,36,0,2,0,0,0,0,20,0,0,0,3,0,79,0,0,0
SupSuper/OpenXcom,0,0,0,0,0,0,4,0,0,0,98,2,5,0,28,0,155,0,4,11,0,4,51,0,1,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,132,0,0,0,1,118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,0,0,0,15,0,0,0,2,0,22,0,356,0,0,0,0,0,2,14,0,0,0,10,0,13,23,0,0
eigengo/akka-patterns,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
JACoders/OpenJK,0,0,0,0,0,0,27,0,0,0,61,0,8,8,3,0,92,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,0,0,64,0,0,0,1,60,0,0,0,0,0,0,0,0,0,0,2,0,4,0,10,0,0,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,32,0,0,0,6,0,2,0,0,0
acaudwell/Logstalgia,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0
PCSX2/pcsx2,1,0,0,0,0,0,4,0,0,0,44,0,2,0,6,0,62,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,2,0,27,0,21,39,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,4,0,0,0,3,0,0,0,10,0,0,0,0,0,0,33,0,0,0,0,0,0,1,0,7
bkaradzic/bgfx,0,0,0,0,0,0,0,0,0,0,9,0,1,0,1,0,47,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,40,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,4,0,2,0,0,0
fabianschuiki/OpenSkyscraper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
miloyip/rapidjson,0,0,0,0,0,0,12,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
joeferner/node-java,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
kripken/ammo.js,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0
AGWA/git-crypt,0,0,0,0,0,0,3,0,0,0,12,0,1,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
haxenme/nme,0,0,0,0,0,0,4,0,0,0,1,0,0,0,35,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,11,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,3,0,13,2,0,0
huceke/omxplayer,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,9,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1
kylelutz/compute,5,0,0,0,0,0,110,0,0,2,29,0,4,0,1,0,5,3,0,0,0,0,90,0,3,4,0,1,0,0,3,14,0,0,0,1,0,2,0,9,67,0,0,0,0,2,0,6,0,2,0,0,8,15,0,3,0,6,0,0,2,0,0,0,0,0,0,0,6,0,6,3,6,3,3,3,3,3,0,73,0,3,0,2,0,9,6,0,0
progschj/OpenGL-Examples,0,0,0,0,0,0,0,0,0,0,14,0,0,0,2,0,1,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0
